Brand,Product,Variant Scope,Affected Variants,Current Category,Current Weight(s),Corrected Ship Class,Rec L,Rec W,Rec H,Recommended Site Weight,Delta Min,Delta Max,Match Source,Confidence,Action,Reason
⚡ Tesla,ETi Tesla Model 3 Dry Carbon Spoiler,All variants,1,Spoiler/Wing,17,Standard Spoiler / Wing,133.0,43.0,26.0,30.0,13.0,13.0,Cleaned category P75,High,UPDATE SITE,Generic standard-wing fallback; exact vehicle evidence preferred. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: B-YARISGR-RS-GV / OD-0027494.
⚪ Other,R32 GTR Carbon Fiber Cooling Panel,All variants,4,Small Panel,15,Cooling Panel,133.0,35.0,13.0,13.0,-2.0,-2.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched R32-CP cleaned historical cartons.
⚪ Other,R32 GTR TBO Style Front Lip,All variants,4,Front Lip,46,Front Lip / Splitter,171.0,64.0,12.0,27.0,-19.0,-19.0,Exact vehicle + part P75,High,UPDATE SITE,Matched R32-FL cleaned historical cartons.
⚪ Other,R33 GTR GTS OEM Style Rear Spoiler Blade R33 GTR GTS,All variants,5,Spoiler/Wing,30,Standard Spoiler / Wing,130.0,32.0,16.0,14.0,-16.0,-16.0,Exact vehicle + part P75,High,UPDATE SITE,Matched R33-RS cleaned historical cartons.
⚪ Other,R33 GTR JUN Style Front Lip,All variants,4,Front Lip,46,Front Lip / Splitter,192.0,78.0,21.0,63.0,17.0,17.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched R33-FL cleaned historical cartons.
⚪ Other,R33 GTR OEM GTS GTR-Style Rear Trunk Spoiler Wing,All variants,4,Trunk/Boot,88,Standard Spoiler / Wing,130.0,32.0,16.0,14.0,-74.0,-74.0,Exact vehicle + part P75,High,UPDATE SITE,Matched R33-RS cleaned historical cartons.
⚪ Other,R33 GTS/GTR Nismo 400R Style Wheel Arches 6pcs,All variants,5,Accessory,62,Fender Flare / Arch,102.0,42.0,16.0,14.0,-48.0,-48.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched R33-ARCH cleaned historical cartons.
⚪ Other,R33 Skyline GTR GTS GTT Rear Roof Spoiler Wing Lip,All variants,4,Roof Panel,72,Duckbill / Small Spoiler,130.0,32.0,16.0,14.0,-58.0,-58.0,Exact vehicle + part P75,High,UPDATE SITE,Matched R33-RS cleaned historical cartons.
⚪ Other,R34 GTR NI Z-Tune Style Side Skirt Extensions,All variants,5,Side Skirts,37,Side Skirts,205.0,28.0,17.0,20.0,-17.0,-17.0,Exact vehicle + part P75,High,UPDATE SITE,Matched R34-SS cleaned historical cartons.
⚪ Other,R34 GTR Nismo Style Carbon Fiber Side Skirt Extension (189cm),All variants,5,Side Skirts,37,Side Skirts,205.0,28.0,17.0,20.0,-17.0,-17.0,Exact vehicle + part P75,High,UPDATE SITE,Matched R34-SS cleaned historical cartons.
⚪ Other,R34 GTR Nismo Style Rear Spats,All variants,4,Accessory,5,Spats / Extensions,73.0,31.0,25.0,12.0,7.0,7.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched R34-SPAT cleaned historical cartons.
⚪ Other,R34 GTR OEM Style Rear Spoiler (Fits: R32 R33 R34 GTR GTS G35),All variants,5,Spoiler/Wing,30,Standard Spoiler / Wing,130.0,32.0,16.0,14.0,-16.0,-16.0,Exact vehicle + part P75,High,UPDATE SITE,Matched R33-RS cleaned historical cartons.
⚪ Other,R34 GTR Z-Tune Style Rear Bumper Spats,All variants,4,Bumper,170,Spats / Extensions,73.0,31.0,25.0,12.0,-158.0,-158.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched R34-SPAT cleaned historical cartons.
